obs,t,Y,dq1,dq2,dq3,dq4,sq_t
1950Q1,201,11.3927911336,1,0,0,0,40401
1950Q2,202,11.872850354,0,1,0,0,40804
1950Q3,203,13.68803894,0,0,1,0,41209
1950Q4,204,17.4425898724,0,0,0,1,41616
1951Q1,205,17.600249185,1,0,0,0,42025
1951Q2,206,13.3913257107,0,1,0,0,42436
1951Q3,207,10.2210469034,0,0,1,0,42849
1951Q4,208,9.4947643962,0,0,0,1,43264
1952Q1,209,8.3778205859,1,0,0,0,43681
1952Q2,210,6.44542098,0,1,0,0,44100
1952Q3,211,8.2104630864,0,0,1,0,44521
1952Q4,212,9.2374335085,0,0,0,1,44944
1953Q1,213,8.0573635458,1,0,0,0,45369
1953Q2,214,6.4728718697,0,1,0,0,45796
1953Q3,215,5.384437156,0,0,1,0,46225
1953Q4,216,4.6450529295,0,0,0,1,46656
1954Q1,217,3.8013100261,1,0,0,0,47089
1954Q2,218,4.1044376053,0,1,0,0,47524
1954Q3,219,4.1051714865,0,0,1,0,47961
1954Q4,220,3.6670668284,0,0,0,1,48400
1955Q1,221,3.9116775856,1,0,0,0,48841
1955Q2,222,4.7260247685,0,1,0,0,49284
1955Q3,223,5.1218868032,0,0,1,0,49729
1955Q4,224,6.9926913233,0,0,0,1,50176
1956Q1,225,7.1775392224,1,0,0,0,50625
1956Q2,226,9.916580394,0,1,0,0,51076
1956Q3,227,12.302956161,0,0,1,0,51529
1956Q4,228,11.5441466418,0,0,0,1,51984
1957Q1,229,9.2366120336,1,0,0,0,52441
1957Q2,230,8.5483890984,0,1,0,0,52900
1957Q3,231,7.7139890844,0,0,1,0,53361
1957Q4,232,6.880501245,0,0,0,1,53824
1958Q1,233,7.1112543376,1,0,0,0,54289
1958Q2,234,7.6395286188,0,1,0,0,54756
1958Q3,235,7.0768127733,0,0,1,0,55225
1958Q4,236,8.629550387,0,0,0,1,55696
1959Q1,237,9.3576182718,1,0,0,0,56169
1959Q2,238,10.0608809097,0,1,0,0,56644
1959Q3,239,13.1430093471,0,0,1,0,57121
1959Q4,240,17.3341687748,0,0,0,1,57600
1960Q1,241,16.0382474849,1,0,0,0,58081
1960Q2,242,16.0572295784,0,1,0,0,58564
1960Q3,243,17.6809527627,0,0,1,0,59049
1960Q4,244,20.0268146366,0,0,0,1,59536
1961Q1,245,18.6316096542,1,0,0,0,60025
1961Q2,246,20.3176495393,0,1,0,0,60516
1961Q3,247,17.5370300274,0,0,1,0,61009
1961Q4,248,14.357707528,0,0,0,1,61504
1962Q1,249,12.3050420241,1,0,0,0,62001
1962Q2,250,11.9953758838,0,1,0,0,62500
1962Q3,251,16.6949382951,0,0,1,0,63001
1962Q4,252,17.7071209913,0,0,0,1,63504
1963Q1,253,17.811127557,1,0,0,0,64009
1963Q2,254,17.7203268191,0,1,0,0,64516
1963Q3,255,18.4272201761,0,0,1,0,65025
1963Q4,256,22.0628860582,0,0,0,1,65536
1964Q1,257,21.0954739523,1,0,0,0,66049
1964Q2,258,18.4549417381,0,1,0,0,66564
1964Q3,259,16.1274318892,0,0,1,0,67081
1964Q4,260,11.2157153042,0,0,0,1,67600
1965Q1,261,10.4088503029,1,0,0,0,68121
1965Q2,262,9.8921206586,0,1,0,0,68644
1965Q3,263,8.3416019688,0,0,1,0,69169
1965Q4,264,8.0243769716,0,0,0,1,69696
1966Q1,265,8.1105361725,1,0,0,0,70225
1966Q2,266,6.3700188845,0,1,0,0,70756
1966Q3,267,5.9283712913,0,0,1,0,71289
1966Q4,268,6.1374117433,0,0,0,1,71824
1967Q1,269,6.4392299993,1,0,0,0,72361
1967Q2,270,8.1581456519,0,1,0,0,72900
1967Q3,271,7.2132107693,0,0,1,0,73441
1967Q4,272,5.9646625026,0,0,0,1,73984
1968Q1,273,7.5531721339,1,0,0,0,74529
1968Q2,274,9.2844972231,0,1,0,0,75076
1968Q3,275,9.508184967,0,0,1,0,75625
1968Q4,276,8.0412235943,0,0,0,1,76176
1969Q1,277,6.5875870312,1,0,0,0,76729
1969Q2,278,6.8962681509,0,1,0,0,77284
1969Q3,279,6.7647540477,0,0,1,0,77841
1969Q4,280,6.4103141053,0,0,0,1,78400
1970Q1,281,6.9840315103,1,0,0,0,78961
1970Q2,282,7.4356316843,0,1,0,0,79524
1970Q3,283,6.7466686143,0,0,1,0,80089
1970Q4,284,7.0946326678,0,0,0,1,80656
1971Q1,285,6.70643108,1,0,0,0,81225
1971Q2,286,6.55280776,0,1,0,0,81796
1971Q3,287,7.0479458694,0,0,1,0,82369
1971Q4,288,6.7633495997,0,0,0,1,82944
1972Q1,289,5.7618771015,1,0,0,0,83521
1972Q2,290,5.37721574,0,1,0,0,84100
1972Q3,291,6.072338704,0,0,1,0,84681
1972Q4,292,7.2364417422,0,0,0,1,85264
1973Q1,293,5.7885730551,1,0,0,0,85849
1973Q2,294,5.588781664,0,1,0,0,86436
1973Q3,295,6.8832048756,0,0,1,0,87025
1973Q4,296,6.7585705065,0,0,0,1,87616
1974Q1,297,7.0762746889,1,0,0,0,88209
1974Q2,298,8.0696572974,0,1,0,0,88804
1974Q3,299,9.1877230638,0,0,1,0,89401
1974Q4,300,9.6487669716,0,0,0,1,90000
1975Q1,301,8.2743973479,1,0,0,0,90601
1975Q2,302,8.4890855863,0,1,0,0,91204
1975Q3,303,8.8794378956,0,0,1,0,91809
1975Q4,304,8.9025424605,0,0,0,1,92416
1976Q1,305,8.1405200059,1,0,0,0,93025
1976Q2,306,7.6687551957,0,1,0,0,93636
1976Q3,307,7.1142080797,0,0,1,0,94249
1976Q4,308,8.1239043108,0,0,0,1,94864
1977Q1,309,8.0310942821,1,0,0,0,95481
1977Q2,310,9.1128711674,0,1,0,0,96100
1977Q3,311,12.0305223356,0,0,1,0,96721
1977Q4,312,9.9698495874,0,0,0,1,97344
1978Q1,313,8.2871377413,1,0,0,0,97969
1978Q2,314,10.4895310004,0,1,0,0,98596
1978Q3,315,12.0086971147,0,0,1,0,99225
1978Q4,316,10.7407074085,0,0,0,1,99856
1979Q1,317,10.4824636546,1,0,0,0,100489
1979Q2,318,12.3597265621,0,1,0,0,101124
1979Q3,319,12.7464689345,0,0,1,0,101761
1979Q4,320,12.954326366,0,0,0,1,102400
1980Q1,321,11.8540990402,1,0,0,0,103041
1980Q2,322,9.3879708411,0,1,0,0,103684
1980Q3,323,9.3914919825,0,0,1,0,104329
1980Q4,324,12.0514404752,0,0,0,1,104976
1981Q1,325,10.1666718359,1,0,0,0,105625
1981Q2,326,9.8867530517,0,1,0,0,106276
1981Q3,327,11.940048424,0,0,1,0,106929
1981Q4,328,10.2913197565,0,0,0,1,107584
1982Q1,329,10.0962256922,1,0,0,0,108241
1982Q2,330,10.7898153493,0,1,0,0,108900
1982Q3,331,9.5005900197,0,0,1,0,109561
1982Q4,332,6.8809689853,0,0,0,1,110224
1983Q1,333,5.2706785263,1,0,0,0,110889
1983Q2,334,4.170036503,0,1,0,0,111556
1983Q3,335,3.6425626611,0,0,1,0,112225
1983Q4,336,3.2224334291,0,0,0,1,112896
1984Q1,337,3.3324223669,1,0,0,0,113569
1984Q2,338,6.2938715482,0,1,0,0,114244
1984Q3,339,8.5055294057,0,0,1,0,114921
1984Q4,340,8.4507739542,0,0,0,1,115600
1985Q1,341,6.8248918612,1,0,0,0,116281
1985Q2,342,5.6787022436,0,1,0,0,116964
1985Q3,343,5.2209698604,0,0,1,0,117649
1985Q4,344,5.0104452209,0,0,0,1,118336
1986Q1,345,4.4132810338,1,0,0,0,119025
1986Q2,346,4.0589008255,0,1,0,0,119716
1986Q3,347,4.7746701235,0,0,1,0,120409
1986Q4,348,4.9174698968,0,0,0,1,121104
1987Q1,349,5.1357772394,1,0,0,0,121801
1987Q2,350,4.1629677761,0,1,0,0,122500
1987Q3,351,4.196246964,0,0,1,0,123201
1987Q4,352,5.1510092418,0,0,0,1,123904
1988Q1,353,5.6483781716,1,0,0,0,124609
1988Q2,354,6.0302461813,0,1,0,0,125316
1988Q3,355,7.072415794,0,0,1,0,126025
1988Q4,356,6.5613051914,0,0,0,1,126736
1989Q1,357,5.4674409707,1,0,0,0,127449
1989Q2,358,5.1520945714,0,1,0,0,128164
1989Q3,359,5.6621717434,0,0,1,0,128881
1989Q4,360,5.3165696945,0,0,0,1,129600
1990Q1,361,5.4320643544,1,0,0,0,130321
1990Q2,362,4.3217430779,0,1,0,0,131044
1990Q3,363,3.6342347359,0,0,1,0,131769
1990Q4,364,4.4171707883,0,0,0,1,132496
1991Q1,365,4.1408893218,1,0,0,0,133225
1991Q2,366,3.9350457908,0,1,0,0,133956
1991Q3,367,4.8269357156,0,0,1,0,134689
1991Q4,368,4.2205873119,0,0,0,1,135424
1992Q1,369,4.6307909168,1,0,0,0,136161
1992Q2,370,4.2725032969,0,1,0,0,136900
1992Q3,371,4.4159043757,0,0,1,0,137641
1992Q4,372,2.8104217326,0,0,0,1,138384
1993Q1,373,1.9867615787,1,0,0,0,139129
1993Q2,374,1.9065095772,0,1,0,0,139876
1993Q3,375,1.7678984451,0,0,1,0,140625
1993Q4,376,1.6314791974,0,0,0,1,141376
1994Q1,377,2.1617088768,1,0,0,0,142129
1994Q2,378,2.2798696697,0,1,0,0,142884
1994Q3,379,2.0015931744,0,0,1,0,143641
1994Q4,380,1.7082452514,0,0,0,1,144400
1995Q1,381,1.4570370496,1,0,0,0,145161
1995Q2,382,1.6979401392,0,1,0,0,145924
1995Q3,383,1.8979854791,0,0,1,0,146689
1995Q4,384,2.1519472708,0,0,0,1,147456
1996Q1,385,1.7191802221,1,0,0,0,148225
1996Q2,386,1.7240555005,0,1,0,0,148996
1996Q3,387,2.082409108,0,0,1,0,149769
1996Q4,388,2.3688520276,0,0,0,1,150544
1997Q1,389,1.8199491859,1,0,0,0,151321
1997Q2,390,1.3424973726,0,1,0,0,152100
1997Q3,391,1.8994285787,0,0,1,0,152881
1997Q4,392,2.0353070358,0,0,0,1,153664
1998Q1,393,1.9515527393,1,0,0,0,154449
1998Q2,394,1.4383068029,0,1,0,0,155236
1998Q3,395,1.3977512986,0,0,1,0,156025
1998Q4,396,1.1396449637,0,0,0,1,156816
1999Q1,397,1.2411988107,1,0,0,0,157609
1999Q2,398,1.3518114117,0,1,0,0,158404
1999Q3,399,1.3939828633,0,0,1,0,159201
1999Q4,400,1.5078488816,0,0,0,1,160000
