obs,Y
1990Q2,10.9151154201
1990Q3,11.4449740095
1990Q4,15.797942441
1991Q1,9.1569966263
1991Q2,11.5587782376
1991Q3,11.6115594838
1991Q4,12.1794335959
1992Q1,6.9996875755
1992Q2,10.6693195098
1992Q3,11.3679782063
1992Q4,14.5316472818
1993Q1,9.0606214473
1993Q2,11.688835514
1993Q3,10.6945956865
1993Q4,13.429538463
1994Q1,7.5547477869
1994Q2,9.4336457905
1994Q3,9.6025445143
1994Q4,13.8558026156
1995Q1,10.2161109144
1995Q2,13.4632804603
1995Q3,12.1013385034
1995Q4,14.2912989896
1996Q1,9.9622370747
1996Q2,14.7647491329
1996Q3,15.8213807222
1996Q4,19.7804084449
1997Q1,14.8788729144
1997Q2,16.2595970095
1997Q3,15.1876912345
1997Q4,17.6808928595
1998Q1,12.3205976286
1998Q2,13.2231894426
1998Q3,12.7208971213
1998Q4,16.7951657627
1999Q1,11.9302625786
1999Q2,14.3339804714
1999Q3,12.9951305695
1999Q4,15.6798385904
